Episode,Title,Source,Month,Colors,Subjects
S01E01,A Walk in the Woods,https://www.youtube.com/embed/oh5p5f5_-7A,January,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Bushes','Deciduous','Grass','River','Tree','Trees']"
S01E02,Mt. McKinley,https://www.youtube.com/embed/RInDWhYceLU,January,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Cabin','Clouds','Conifer','Mountain','Snow','Snowy Mountain','Tree','Trees','Winter']"
S01E03,Ebony Sunset,https://www.youtube.com/embed/UOziR7PoVco,January,"['Alizarin Crimson','Black Gesso','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Cabin','Conifer','Fence','Mountain','Mountains','Structure','Sun','Tree','Trees','Winter']"
S01E04,Winter Mist,https://www.youtube.com/embed/0pwoixRikn4,January,"['Prussian Blue','Titanium White','Van Dyke Brown']","['Bushes','Clouds','Conifer','Lake','Mountain','Snowy Mountain','Tree','Trees']"
S01E05,Quiet Stream,https://www.youtube.com/embed/DFSIQNjKRfk,February,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Deciduous','River','Rocks','Tree','Trees']"
S01E06,Winter Moon,https://www.youtube.com/embed/loAzRUzx1wI,February,"['Black Gesso','Prussian Blue','Titanium White','Van Dyke Brown']","['Cabin','Conifer','Lake','Moon','Mountain','Mountains','Night','Snow','Snowy Mountain','Structure','Tree','Trees','Winter']"
S01E07,Autumn Mountain,https://www.youtube.com/embed/sDdpc8uisD0,February,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Deciduous','Lake','Mountain','Mountains','Snowy Mountain','Tree','Trees']"
S01E08,Peaceful Valley,https://www.youtube.com/embed/kQlFwTOkYzg,February,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Bushes','Conifer','Lake','Mountain','Mountains','Tree','Trees']"
S01E09,Seascape,https://www.youtube.com/embed/QxcS7p1VHyQ,March,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Beach','Clouds','Fence','Ocean']"
S01E10,Mountain Lake,https://www.youtube.com/embed/wDnLlywAL5I,March,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Phthalo Green','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown']","['Bushes','Conifer','Deciduous','Lake','Mountain','Tree','Trees']"
